t, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7, x, y
1486636463.2063282, -31, 27, 18, -11, -339, -234, -65, -101, 874, 395
1486636463.2067163, -94, 19, 4, -15, -303, -239, -73, -107, 874, 395
1486636463.2067885, -2, -10, 18, -2, -94, -237, -76, -106, 874, 395
1486636463.2076957, 107, -29, 35, 29, 93, -230, -80, -90, 874, 395
1486636463.2132716, 76, -12, 32, 8, -115, -234, -67, -92, 874, 395
1486636463.214989, -42, 23, 6, -24, -309, -238, -53, -91, 874, 395
1486636463.220754, -98, 5, 5, -7, -243, -237, -75, -101, 874, 395
1486636463.2216246, 0, -11, 16, 11, 30, -229, -82, -81, 874, 395
1486636463.223166, 122, -28, 32, 27, 121, -232, -74, -78, 874, 395
1486636463.2356768, 62, -8, 18, 13, -123, -215, -65, -85, 874, 395
1486636463.2366426, -61, 22, 0, -23, -362, -230, -76, -110, 874, 395
1486636463.2386909, -79, 12, 8, -6, -303, -239, -73, -107, 874, 395
1486636463.2431707, 14, -12, 34, 15, 49, -231, -91, -99, 874, 395
1486636463.2443292, 126, -27, 42, 30, 96, -226, -83, -91, 874, 395
1486636463.2454884, 40, 11, 36, 0, -171, -234, -67, -92, 874, 395
1486636463.2629676, -75, 27, 4, -17, -391, -228, -75, -113, 1482, 1094
1486636463.263088, -66, 18, 12, -9, -188, -227, -84, -106, 1482, 1094
1486636463.2642677, 44, -22, 26, 12, 73, -217, -82, -81, 1482, 1094
1486636463.2731664, 126, -30, 33, 8, 64, -217, -86, -85, 1482, 1094
1486636463.2739415, 30, 6, 28, 0, -182, -221, -83, -108, 1482, 1094
1486636463.2741668, -74, 22, 4, -20, -363, -233, -91, -131, 1482, 1094
1486636463.2807293, -75, 1, 15, 0, -126, -227, -99, -123, 1482, 1094
1486636463.2814543, 58, -20, 34, 17, 92, -220, -103, -99, 1482, 1094
1486636463.2817748, 125, -17, 23, 23, 56, -213, -89, -95, 1482, 1094
1486636463.295882, 31, 11, 16, -4, -248, -217, -73, -106, 1482, 1094
1486636463.2966886, -95, 17, 2, -11, -352, -218, -74, -112, 1482, 1094
1486636463.3005648, -46, 4, 12, -7, -127, -221, -89, -107, 1482, 1094
1486636463.311522, 82, -22, 34, 15, 120, -222, -91, -93, 1482, 1094
1486636463.3118052, 121, -10, 33, 15, 29, -206, -77, -89, 1482, 1094
1486636463.3118424, 18, 8, 13, -10, -284, -221, -83, -108, 1482, 1094
1486636463.3192587, -92, 23, 2, -25, -313, -217, -78, -119, 1482, 1094
1486636463.3209743, -28, -5, 19, 0, -96, -218, -94, -112, 1482, 1094
1486636463.3210416, 98, -23, 45, 21, 126, -211, -94, -99, 1482, 1094
1486636463.3332374, 123, -15, 32, 20, -23, -209, -81, -92, 1482, 1094
1486636463.334278, 3, 14, 10, -9, -287, -212, -76, -108, 1482, 1094
1486636463.3376253, -104, 20, 4, -15, -307, -214, -77, -118, 1482, 1094
1486636463.3483922, -17, -6, 23, 3, -47, -214, -94, -107, 1482, 1094
1486636463.3491936, 95, -27, 38, 25, 153, -212, -95, -99, 1482, 1094
1486636463.3499405, 105, -16, 30, 18, 242, -206, -77, -89, 1482, 1094
1486636463.355762, -9, 20, 6, -17, -298, -211, -79, -114, 1482, 1094
1486636463.3567548, -104, 20, 10, -14, -255, -211, -86, -116, 1482, 1094
1486636463.3584027, -6, -7, 31, 8, -19, -212, -94, -112, 1482, 1094
1486636463.3718727, 107, -38, 31, 24, 116, -206, -93, -83, 1482, 1094
1486636463.3784647, 91, -7, 27, 14, -53, -201, -77, -89, 1482, 1094
1486636463.3788583, -41, 23, 3, -17, -332, -211, -81, -112, 1482, 1094
1486636463.3857095, -88, 9, 6, -17, -240, -210, -85, -109, 1482, 1094
1486636463.386959, -1, -7, 23, 16, 51, -207, -92, -96, 1482, 1094
1486636463.3900347, 114, -29, 44, 24, 158, -212, -95, -99, 1482, 1094
1486636463.393254, 81, -1, 26, -2, -67, -199, -80, -98, 1482, 1094
1486636463.3938072, -42, 17, 13, -16, -330, -201, -76, -109, 1482, 1094
1486636463.3953161, -74, 15, 14, -13, -224, -204, -87, -116, 1482, 1094
1486636463.4082637, 7, -16, 19, 9, 69, -196, -87, -89, 1482, 1094
1486636463.409278, 132, -28, 27, 13, 113, -194, -90, -88, 1482, 1094
1486636463.4115014, 72, 8, 31, 1, -105, -198, -82, -97, 1482, 1094
1486636463.423292, -53, 20, 18, -13, -360, -199, -80, -113, 1482, 1094
1486636463.424254, -82, 5, 7, -18, -155, -203, -93, -110, 1482, 1094
1486636463.4276967, 30, -24, 35, 24, 95, -198, -99, -99, 1482, 1094
1486636463.4307065, 135, -24, 45, 19, 108, -197, -94, -97, 1482, 1094
1486636463.4314308, 51, 3, 31, 12, -142, -198, -84, -102, 1482, 1094
1486636463.4323435, -74, 20, 4, -22, -328, -197, -80, -112, 1482, 1094
1486636463.4328275, -74, 15, 14, -13, -224, -204, -87, -105, 1482, 1094
1486636463.4464757, 41, -23, 34, 7, 78, -197, -96, -93, 1482, 1094
1486636463.4486644, 132, -25, 37, 18, 86, -186, -83, -88, 1482, 1094
1486636463.4486978, 72, 8, 31, 1, -105, -198, -82, -97, 1482, 1094
1486636463.4608278, -63, 8, 22, -3, -119, -194, -90, -109, 1482, 1094
1486636463.4616556, 71, -26, 39, 10, 91, -203, -93, -110, 1482, 1094
1486636463.4758043, 121, -20, 31, 14, 35, -190, -88, -90, 1482, 1094
1486636463.476726, 23, 6, 17, -10, -201, -189, -82, -104, 1482, 1094
1486636463.4786508, -99, 15, 7, -21, -318, -200, -84, -102, 1482, 1094
1486636463.4848065, -42, 7, 28, -4, -102, -201, -96, -111, 1482, 1094
1486636463.4908223, 87, -24, 32, 13, 121, -187, -87, -86, 1482, 1094
1486636463.4926877, 115, -13, 33, 18, 33, -189, -96, -93, 1482, 1094
1486636463.4982467, 19, 16, 12, -20, -286, -194, -84, -108, 1482, 1094
1486636463.499183, -98, 18, 4, -21, -286, -195, -86, -114, 1482, 1094
1486636463.501041, -27, -5, 19, 7, -47, -188, -96, -102, 1482, 1094
1486636463.505939, 99, -16, 33, 17, 173, -182, -94, -86, 1482, 1094
1486636463.5063145, 111, -11, 38, 5, 9, -186, -86, -87, 1482, 1094
1486636463.5104678, -3, 24, 13, -19, -284, -189, -74, -101, 1482, 1094
1486636463.5244403, -100, 21, -2, -20, -266, -191, -75, -104, 1482, 1094
1486636463.5245142, -17, -7, 19, 5, -17, -177, -78, -91, 1482, 1094
1486636463.5263705, 109, -30, 36, 26, 157, -176, -80, -83, 1482, 1094
1486636463.5357325, 110, -3, 31, 13, -61, -178, -77, -93, 1482, 1094
1486636463.53634, -22, 17, 18, -9, -298, -192, -77, -113, 1482, 1094
1486636463.5367165, -95, 19, 4, -22, -256, -195, -86, -114, 1482, 1094
1486636463.543243, -10, -9, 35, 2, 6, -186, -96, -108, 1482, 1094
1486636463.5435183, 109, -29, 44, 24, 123, -179, -93, -87, 1482, 1094
1486636463.5475166, 92, 0, 34, -3, -49, -180, -76, -89, 1482, 1094
1486636463.5588167, -38, 32, 6, -20, -295, -178, -72, -102, 1482, 1094
1486636463.559181, -91, 14, 16, -14, -212, -181, -82, -105, 1482, 1094
1486636463.5598006, 9, -11, 25, 13, 40, -183, -89, -88, 1482, 1094
1486636463.5732884, 123, -27, 32, 15, 127, -178, -84, -78, 1482, 1094
1486636463.5743194, 80, 2, 24, -4, -81, -184, -77, -87, 1482, 1094
1486636463.5787904, -42, 26, 16, -16, -324, -184, -79, -110, 1482, 1094
1486636463.581103, -77, 15, 10, -2, -169, -187, -100, -123, 1482, 1094
1486636463.5816016, 19, -17, 31, 11, 90, -177, -97, -89, 1482, 1094
1486636463.58188, 119, -29, 47, 10, 152, -150, -84, -64, 1482, 1094
1486636463.595743, 63, 9, 30, 5, -55, -137, -86, -69, 1482, 1094
1486636463.5965743, -68, 18, 10, -15, -236, -130, -81, -66, 1482, 1094
1486636463.6002522, -74, 8, 8, -9, -31, -106, -98, -105, 1482, 1094
1486636463.6107776, 31, -22, 30, 20, 249, -78, -95, -23, 1482, 1094
1486636463.6117926, 129, -22, 32, 27, 250, -58, -100, -16, 1482, 1094
1486636463.6142206, 37, -1, 20, 6, 61, -46, -90, -13, 1482, 1094
1486636463.619576, -79, 31, 1, -16, -63, -26, -88, -14, 1482, 1094
1486636463.626054, -69, 8, 15, -12, 137, -12, -94, -4, 1482, 1094
1486636463.6264553, 56, -24, 39, 16, 336, -10, -106, -240, 1482, 1094
1486636463.6408072, 126, -22, 35, 18, 333, -2, -93, 13, 1482, 1094
1486636463.641192, 35, 8, 13, -5, 48, -13, -96, -9, 1482, 1094
1486636463.6418579, -92, 33, 11, -14, -32, -130, -81, -66, 1482, 1094
1486636463.6481993, -39, -3, 20, -4, 157, -22, -118, -8, 1482, 1094
1486636463.6485803, 88, -24, 22, 13, 420, -6, -114, 14, 1482, 1094
1486636463.6494448, 118, -12, 20, 10, 324, -13, -112, -16, 1482, 1094
1486636463.6557126, 19, 10, 16, -15, 60, -18, -109, -7, 1482, 1094
1486636463.6561236, -89, 31, 13, -15, -20, -15, -106, -9, 1482, 1094
1486636463.656762, -44, -10, 20, -5, 200, -16, -120, 0, 1482, 1094
1486636463.6706421, 89, -23, 26, 10, 399, -12, -122, 8, 1482, 1094
1486636463.6710467, 116, -12, 29, 4, 262, -4, -108, 7, 1482, 1094
1486636463.671678, 0, 19, 22, -16, 20, -20, -116, -24, 1482, 1094
1486636463.6725895, -92, 33, 11, -14, -32, -22, -106, -24, 1482, 1094
1486636463.6859062, -15, 0, 11, -6, 233, -14, -126, -11, 1482, 1094
1486636463.6859686, 100, -23, 30, 22, 418, -10, -120, 12, 1482, 1094
1486636463.6870923, 98, -14, 20, 10, 324, -13, -112, 8, 1482, 1094
1486636463.693225, -29, 17, 17, -18, 19, -12, -104, -6, 1482, 1094
1486636463.6934564, -93, 29, 12, -12, 55, -17, -116, -11, 1482, 1094
1486636463.6946497, -1, -5, 20, -5, 200, -16, -120, 0, 1482, 1094
1486636463.7081442, 104, -33, 35, 20, 430, -3, -111, 18, 1482, 1094
1486636463.7085462, 93, -7, 34, 4, 259, -10, -111, 10, 1482, 1094
1486636463.7093425, -51, 23, 14, -16, 20, -20, -116, -24, 1482, 1094
1486636463.723117, -84, 24, 23, -12, 46, -26, -118, -20, 1482, 1094
1486636463.7234843, -2, -19, 19, 2, 323, -18, -120, 1, 1482, 1094
1486636463.7242718, 112, -30, 33, 20, 411, -9, -120, 12, 1482, 1094
1486636463.7308698, 80, 5, 21, 11, 192, -19, -107, -7, 1482, 1094
1486636463.7312233, -53, 29, 10, -19, -55, -23, -109, -26, 1482, 1094
1486636463.7319844, -80, 16, 11, -7, 87, -19, -106, -25, 1482, 1094
1486636463.7458367, 3, -13, 17, 13, 330, -15, -106, -6, 1482, 1094
1486636463.7462015, 123, -29, 31, 21, 381, -3, -101, 4, 1482, 1094
1486636463.7466915, 59, 6, 28, 5, 259, -10, -111, 10, 1482, 1094
1486636463.760635, -66, 32, 19, -10, -14, -10, -94, -16, 1482, 1094
1486636463.760997, -81, 24, 6, -10, 126, -14, -99, -8, 1482, 1094
1486636463.7620492, 34, -17, 34, 12, 361, -5, -106, 6, 1482, 1094
1486636463.768292, 135, -11, 42, 21, 375, 1, -100, 10, 1482, 1094
1486636463.7686756, 39, 4, 29, 1, 136, -2, -93, -3, 1482, 1094
1486636463.7694168, -70, 32, 3, -26, -42, -23, -109, -26, 1482, 1094
1486636463.7834158, -58, 8, 19, -6, 143, -21, -118, -21, 1482, 1094
1486636463.7838268, 59, -22, 39, 22, 371, -9, -117, -5, 1482, 1094
1486636463.784236, 126, -18, 44, 19, 352, -9, -113, 4, 1482, 1094
1486636463.7982285, 18, 2, 18, -1, 95, -3, -95, -18, 1482, 1094
1486636463.7985895, -72, 26, 14, -19, -27, -8, -104, -21, 1482, 1094
1486636463.7993362, -49, 2, 20, -1, 162, -10, -113, -8, 1482, 1094
1486636463.8060026, 72, -23, 30, 11, 421, -3, -109, 8, 1482, 1094
1486636463.80634, 120, -18, 27, 14, 342, 3, -104, 8, 1482, 1094
1486636463.8068438, 29, 12, 24, -13, 58, -6, -100, -9, 1482, 1094
1486636463.8208838, -92, 24, 5, -13, 21, -5, -105, -22, 1482, 1094
1486636463.8283207, -33, 8, 24, -1, 223, -4, -111, -12, 1482, 1094
1486636463.8286846, 93, -19, 22, 16, 402, -2, -117, 1, 1482, 1094
1486636463.8357415, 112, -14, 29, 16, 303, -1, -107, -10, 1482, 1094
1486636463.8360326, 3, 14, 14, -11, 50, -6, -100, -17, 1482, 1094
1486636463.8370802, -97, 25, 5, -21, 28, -9, -110, -28, 1482, 1094
1486636463.8437078, -22, -8, 23, 1, 231, -7, -115, -14, 1482, 1094
1486636463.8437772, 103, -30, 32, 26, 423, -4, -116, 2, 1482, 1094
1486636463.844252, 95, -13, 26, 10, 260, 3, -104, 8, 1482, 1094
1486636463.8582485, -13, 28, 9, -17, 8, -8, -103, -21, 1482, 1094
1486636463.8586025, -103, 22, 6, -23, 35, -14, -109, -29, 1482, 1094
1486636463.8595886, 0, 1, 26, 8, 273, -11, -117, -19, 1482, 1094
1486636463.8736873, 103, -29, 28, 22, 425, -1, -112, -7, 1482, 1094
1486636463.8739996, 88, -2, 20, 6, 235, -8, -102, -11, 1482, 1094
1486636463.874336, -34, 23, 7, -12, -1, -12, -103, -27, 1482, 1094
1486636463.8807516, -91, 14, 5, -11, 67, -16, -114, -30, 1482, 1094
1486636463.881135, -6, -8, 28, 11, 343, -8, -111, -9, 1482, 1094
1486636463.8820622, 113, -29, 37, 21, 407, -8, -105, 4, 1482, 1094
1486636463.8956635, 82, -6, 35, 2, 204, -9, -100, -2, 1482, 1094
1486636463.8960576, -48, 19, 10, -18, -17, -5, -93, -10, 1482, 1094
1486636463.896831, -83, 10, 15, -7, 112, -9, -106, -19, 1482, 1094
1486636463.9106746, 10, -15, 16, 2, 348, -4, -108, -4, 1482, 1094
1486636463.9110086, 124, -21, 41, 26, 394, -5, -97, 5, 1482, 1094
1486636463.9118512, 58, 1, 26, 11, 195, -12, -86, -3, 1482, 1094
1486636463.9182441, -60, 18, 1, -27, -10, -15, -87, -20, 1482, 1094
1486636463.918627, -78, 5, 11, -14, 133, -14, -101, -22, 1482, 1094
1486636463.919598, 34, -21, 34, 10, 353, -13, -111, -9, 1482, 1094
1486636463.9331868, 118, -28, 33, 14, 358, -10, -104, -6, 1482, 1094
1486636463.9335735, 50, 5, 16, -3, 160, -13, -92, -10, 1482, 1094
1486636463.9342854, -71, 22, 7, -31, -27, -11, -92, -24, 1482, 1094
1486636463.9351728, -58, 10, 15, -7, 112, -9, -106, -19, 1482, 1094
1486636463.9481614, 51, -22, 31, 10, 360, -7, -100, -1, 1482, 1094
1486636463.948554, 128, -28, 42, 15, 370, -1, -89, 9, 1482, 1094
1486636463.9493124, 32, -4, 20, 11, 195, -12, -86, -3, 1482, 1094
1486636463.9557536, -74, 18, 6, -24, -34, -3, -81, -17, 1482, 1094
1486636463.9561372, -60, -9, 11, -2, 146, -5, -92, -12, 1482, 1094
1486636463.95681, 74, -16, 40, 10, 353, -13, -111, -9, 1482, 1094
1486636463.9706917, 120, -19, 41, 10, 323, 2, -82, 12, 1482, 1094
1486636463.9710357, 33, 13, 21, -2, 58, 4, -75, -5, 1482, 1094
1486636463.9718957, -82, 34, 4, -20, -27, -11, -92, -24, 1482, 1094
1486636463.9856775, -46, -6, 13, -8, 191, -5, -100, -21, 1482, 1094
1486636463.9860418, 80, -29, 30, 15, 406, -6, -100, 0, 1482, 1094
1486636463.986859, 116, -23, 29, 13, 296, 2, -88, 9, 1482, 1094
1486636463.9931934, 6, 9, 11, -18, 55, -7, -79, -13, 1482, 1094
1486636463.993877, -86, 29, -2, -18, 20, -16, -96, -32, 1482, 1094
1486636463.994509, -20, -6, 30, -13, 215, -9, -98, -12, 1482, 1094
1486636464.0082185, 106, -23, 33, 21, 434, 3, -99, -8, 1482, 1094
1486636464.0086038, 106, -15, 34, 14, 283, -2, -102, -15, 1482, 1094
1486636464.009534, -13, 11, 3, -17, 30, -10, -97, -42, 1482, 1094
1486636464.0232534, -96, 20, 8, -21, 26, -18, -115, -51, 1482, 1094
1486636464.0235283, -9, -2, 22, -7, 265, -9, -119, -33, 1482, 1094
1486636464.0244703, 108, -29, 38, 22, 424, -6, -100, 0, 1482, 1094
1486636464.0306957, 89, -16, 18, 9, 234, -6, -106, -25, 1482, 1094
1486636464.0310593, -42, 16, 11, -11, -8, -4, -101, -37, 1482, 1094
1486636464.0317993, -93, 9, 2, -11, 43, -9, -113, -32, 1482, 1094
1486636464.04572, -10, -22, 24, 10, 323, -9, -117, -29, 1482, 1094
1486636464.046158, 105, -30, 29, 22, 413, 3, -110, -14, 1482, 1094
1486636464.0471225, 75, -7, 27, -2, 223, -4, -103, -18, 1482, 1094
1486636464.0607736, -45, 17, 24, -10, 9, -5, -97, -31, 1439, 523
1486636464.061159, -86, 6, 18, -16, 98, -4, -102, -26, 1439, 523
1486636464.062045, 5, -20, 21, 11, 337, 0, -110, -12, 1439, 523
1486636464.0681543, 112, -38, 33, 25, 415, 8, -100, 4, 1439, 523
1486636464.0685072, 64, -1, 17, -6, 207, 9, -91, -8, 1439, 523
1486636464.0692148, -51, 11, 6, -15, -12, -4, -101, -37, 1439, 523
1486636464.08323, -82, 3, 3, -15, 126, -6, -102, -31, 1439, 523
1486636464.083622, 15, -15, 23, 6, 336, 4, -111, -17, 1439, 523
1486636464.0864537, 135, -36, 29, 5, 390, 1, -109, -14, 1439, 523
1486636464.098215, 45, 0, 17, 5, 191, 5, -103, -27, 1439, 523
1486636464.0986297, -71, 18, 10, -27, -21, -7, -96, -36, 1439, 523
1486636464.0995815, -74, 12, 7, -11, 135, -7, -104, -30, 1439, 523
1486636464.105717, 43, -25, 32, 8, 376, -5, -112, -11, 1439, 523
1486636464.1061077, 129, -28, 34, 8, 368, 3, -102, -8, 1439, 523
1486636464.1071384, 33, -7, 23, -14, 150, -5, -97, -18, 1439, 523
1486636464.1206954, -66, 20, 7, -24, -33, -5, -102, -37, 1439, 523
1486636464.1210604, -67, 5, 31, -10, 180, -1, -115, -42, 1439, 523
1486636464.1220584, 64, -23, 27, 13, 374, -4, -111, -17, 1439, 523
1486636464.1356475, 113, -19, 40, 13, 348, -1, -112, -26, 1439, 523
1486636464.135891, 28, 8, 22, -10, 67, -2, -106, -42, 1439, 523
1486636464.1370747, -89, 30, -3, -24, -18, -10, -96, -36, 1439, 523
1486636464.143248, -46, -1, 12, 3, 148, -1, -113, -39, 1439, 523
1486636464.143602, 76, -37, 27, 23, 400, 3, -120, -22, 1439, 523
1486636464.1446128, 105, -28, 23, 15, 317, 6, -101, -8, 1439, 523
1486636464.1582396, 8, 0, 16, -13, 46, 13, -86, -20, 1439, 523
1486636464.1585927, -100, 16, 9, -17, 16, 0, -99, -36, 1439, 523
1486636464.1594734, -32, -8, 15, 2, 186, 1, -106, -28, 1439, 523
1486636464.160221, 64, -23, 27, 13, 374, -4, -124, -29, 1439, 523
1486636464.1731932, 102, -15, 23, 18, 303, 9, -94, -8, 1439, 523
1486636464.1735556, 6, 12, 19, -17, 18, 8, -92, -28, 1439, 523
1486636464.1744437, -90, 24, -3, -24, -18, -10, -106, -46, 1439, 523
1486636464.1807168, -23, -14, 12, -5, 233, 0, -119, -27, 1439, 523
1486636464.1810803, 96, -33, 25, 23, 437, 6, -116, -15, 1439, 523
1486636464.1820254, 101, -16, 23, 15, 317, 6, -101, -10, 1439, 523
1486636464.1957054, -14, 17, 13, -10, 33, -1, -110, -39, 1439, 523
1486636464.1960623, -91, 14, 9, -13, 39, -6, -112, -44, 1439, 523
1486636464.1972678, -10, -10, 7, 254, 186, 1, -106, -28, 1439, 523
1486636464.2107496, 97, -33, 36, 25, 424, -1, -118, -24, 1439, 523
1486636464.2111313, 84, -19, 24, 4, 223, -4, -108, -27, 1439, 523
1486636464.2119777, -39, 16, 9, -23, 15, -3, -92, -28, 1439, 523
1486636464.2182705, -95, 22, 6, -18, 60, -7, -105, -42, 1439, 523
1486636464.218657, -6, -9, 24, 4, 311, -6, -114, -34, 1439, 523
1486636464.2195573, 107, -30, 28, 20, 437, 6, -116, -15, 1439, 523
1486636464.2341745, 73, -6, 13, -8, 229, 1, -93, -14, 1439, 523
1486636464.2344048, -53, 20, -3, -21, -32, 1, -90, -30, 1439, 523
1486636464.2344365, -71, 12, 15, -22, 77, -6, -112, -44, 1439, 523
1486636464.2557087, 16, -16, 21, 11, 341, 1, -110, -15, 1439, 523
1486636464.2561073, 125, -43, 28, 16, 420, 7, -103, -8, 1439, 523
1486636464.256792, 57, -6, 22, -1, 203, 8, -108, -27, 1439, 523
1486636464.2575736, -64, 20, 16, -17, -37, 0, -99, -47, 1439, 523
1486636464.2633083, -76, 7, 7, -11, 109, -4, -105, -45, 1439, 523
1486636464.2636476, 29, -29, 17, 12, 360, 3, -108, -34, 1439, 523
1486636464.270744, 123, -27, 28, 10, 386, 1, -106, -21, 1439, 523
1486636464.2711284, 36, -8, 21, -5, 148, 2, -91, -33, 1439, 523
1486636464.2720308, -69, 19, -4, -29, -53, 1, -96, -30, 1439, 523
1486636464.286202, -77, -2, 7, -5, 119, 4, -81, -38, 1439, 523
1486636464.2865546, 35, -28, 19, 18, 339, 10, -63, -15, 1439, 523
1486636464.2867503, 116, -20, 30, 15, 332, 9, -52, -4, 1439, 523
1486636464.2932076, 32, 2, 23, -2, 76, -1, -52, -24, 1439, 523
1486636464.2935703, -70, 26, 3, -22, -92, 1, -26, -33, 1439, 523
1486636464.2943456, -58, 4, 14, -9, 77, 2, -20, -30, 1439, 523
1486636464.3080862, 70, -21, 31, 18, 252, 14, 15, -14, 1439, 523
1486636464.308713, 122, -24, 37, 9, 193, 12, 43, -20, 1439, 523
1486636464.3095503, 27, 3, 19, 8, -132, 2, 62, -39, 1439, 523
1486636464.3232665, -87, 28, 8, -23, -215, -6, 63, -55, 1439, 523
1486636464.3236237, -47, 0, 14, -4, -39, -9, 67, -44, 1439, 523
1486636464.324621, 75, -22, 39, 20, 210, 10, -63, -15, 1439, 523
1486636464.3307192, 109, -16, 32, 17, 92, 1, 69, -21, 1439, 523
1486636464.331125, 19, 12, 16, -7, -174, 2, 77, -43, 1439, 523
1486636464.3320975, -99, 22, -3, -17, -197, 0, -26, -33, 1439, 523
1486636464.3458307, -38, -6, 15, 0, 8, 0, 54, -45, 1439, 523
1486636464.3463738, 96, -28, 32, 13, 229, 9, 52, -26, 1439, 523
1486636464.346759, 105, -21, 28, 15, 99, 11, 43, -20, 1439, 523
1486636464.3613114, -6, 11, 4, -14, -176, 3, 41, -68, 1439, 523
1486636464.361666, -106, 29, -1, -21, -172, -8, 35, -71, 1439, 523
1486636464.3622918, -14, -4, 17, -1, 75, 0, 36, -47, 1439, 523
1486636464.3682163, 102, -28, 34, 24, 257, 10, 35, -26, 1439, 523
1486636464.368612, 95, 0, 21, 14, 64, 5, 45, -31, 1439, 523
1486636464.3695898, -24, 19, 12, -18, -171, 8, 50, -51, 1439, 523
1486636464.3832984, -88, 16, 5, -13, -114, 4, 32, -60, 1439, 523
1486636464.3835285, -5, -11, 18, 5, 151, 9, 27, -49, 1439, 523
1486636464.3845086, 100, -24, 30, 13, 250, 14, 29, -39, 1439, 523
1486636464.3982594, 84, -7, 24, 2, 66, 13, 37, -46, 1439, 523
1486636464.3987045, -48, 23, 16, -9, -175, 3, 34, -63, 1439, 523
1486636464.3991294, -82, 15, 15, -14, -67, 0, 32, -59, 1439, 523
1486636464.3999453, -1, -4, 17, -1, 75, 0, 36, -47, 1439, 523
1486636464.4057443, 120, -28, 31, 15, 212, 9, 33, -32, 1439, 523
1486636464.4061337, 68, 1, 16, 1, 49, 11, 48, -43, 1439, 523
1486636464.4071105, -63, 12, 12, -18, -171, 8, 50, -51, 1439, 523
1486636464.4206905, -87, 6, 3, -11, -40, 5, 37, -53, 1439, 523
1486636464.42109, 25, -22, 22, 18, 198, 7, 30, -45, 1439, 523
1486636464.4218044, 123, -34, 30, 13, 250, 14, 29, -39, 1439, 523
1486636464.4357836, 53, -1, 18, 0, 10, 7, 33, -56, 1439, 523
1486636464.4361823, -63, 21, -2, -31, -189, 3, 34, -71, 1439, 523
1486636464.4368021, -69, 4, 5, -9, -67, 0, 32, -59, 1439, 523
1486636464.4508164, 34, -34, 20, 17, 205, -3, 11, -48, 1439, 523
1486636464.4511998, 127, -28, 23, 12, 212, 3, 26, -46, 1439, 523
1486636464.4519625, 40, 0, 32, -2, 49, 11, 48, -43, 1439, 523
1486636464.4582644, -74, 28, 8, -25, -174, 0, 36, -65, 1439, 523
1486636464.4586453, -64, 4, 15, -5, 25, 5, 23, -57, 1439, 523
1486636464.459585, 56, -21, 25, 12, 198, 7, 30, -45, 1439, 523
1486636464.4731467, 115, -22, 29, 14, 198, 10, 29, -36, 1439, 523
1486636464.4738746, 32, -3, 24, -9, -96, 6, 42, -46, 1439, 523
1486636464.474705, -83, 18, 2, -15, -157, 1, 35, -71, 1439, 523
1486636464.4808826, -54, 4, 10, -2, 40, 7, 23, -53, 1439, 523
1486636464.481818, 79, -22, 45, 21, 276, 8, 21, -30, 1439, 523
1486636464.4818544, 111, -15, 34, 11, 172, 13, 29, -34, 1439, 523
1486636464.4957952, 25, 16, 20, -5, -85, 9, 34, -51, 1439, 523
1486636464.4962127, -91, 31, -5, -10, -141, 1, 25, -62, 1439, 523
1486636464.497088, -36, -1, 27, -7, 62, 3, 11, -55, 1439, 523
1486636464.5107625, 95, -32, 34, 23, 293, 11, 19, -40, 1439, 523
1486636464.5110857, 108, -22, 33, 9, 155, 10, 27, -35, 1439, 523
1486636464.5121365, 2, 19, 10, -8, -131, 7, 36, -57, 1439, 523
1486636464.5182655, -96, 24, 8, -19, -128, 2, 25, -65, 1439, 523
1486636464.5184937, -21, -1, 20, -5, 98, 4, 12, -57, 1439, 523
1486636464.5196018, 95, -28, 27, 14, 289, 13, 12, -40, 1439, 523
1486636464.5331895, 93, -15, 35, 10, 113, 11, 25, -42, 1439, 523
1486636464.5335798, -20, 19, 3, -14, -146, 6, 25, -59, 1439, 523
1486636464.53435, -95, 16, 8, -17, -130, 2, 13, -71, 1439, 523
1486636464.5483222, -13, -17, 14, 0, 134, 3, 1, -59, 1439, 523
1486636464.5487387, 101, -23, 32, 27, 300, 5, -7, -54, 1439, 523
1486636464.5493088, 94, -5, 27, 1, 112, 10, 27, -35, 1439, 523
1486636464.5556777, -37, 17, 8, -12, -118, 2, 6, -77, 1439, 523
1486636464.556042, -95, 11, 5, -18, -76, -2, -6, -77, 1439, 523
1486636464.557028, 2, -12, 13, -5, 185, 4, 12, -57, 1439, 523
1486636464.5708423, 110, -37, 29, 16, 265, 3, -2, -42, 1439, 523
1486636464.5712135, 81, 0, 30, -9, 81, 2, 10, -49, 1439, 523
1486636464.572071, -46, 27, 9, -18, -169, -8, 5, -72, 1439, 523
1486636464.5857263, -85, 12, 6, -21, -52, 0, -1, -69, 1439, 523
1486636464.5861213, 21, -10, 20, 5, 200, 2, -13, -58, 1439, 523
1486636464.5871136, 131, -23, 42, 21, 246, 6, -3, -52, 1439, 523
1486636464.5933208, 54, -4, 20, 8, 72, 1, 6, -62, 1439, 523
1486636464.5937047, -61, 27, 11, -14, -170, -5, 7, -75, 1439, 523
1486636464.594572, -79, 20, 8, -9, -15, -7, -3, -72, 1439, 523
1486636464.6082382, 34, -26, 28, 17, 220, -5, -6, -53, 1439, 523
1486636464.608623, 140, -21, 39, 15, 246, -6, -1, -47, 1439, 523
1486636464.6095953, 48, 1, 14, 2, 14, -6, 9, -58, 1439, 523
