t, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7, x, y
1486636456.5943239, 73, -25, 35, 13, 359, 52, -21, 62, 50, 1390
1486636456.5943425, 123, -19, 44, 22, 330, 50, -29, 60, 50, 1390
1486636456.5943608, 29, 14, 22, 0, 40, 46, -8, 46, 50, 1390
1486636456.5943792, -82, 20, 15, -20, 1, 41, -17, 38, 50, 1390
1486636456.5943975, -49, -11, 23, 1, 159, 37, -25, 46, 50, 1390
1486636456.594416, 92, -26, 40, 16, 380, 48, -27, 62, 50, 1390
1486636456.5944343, 112, -11, 37, 12, 282, 48, -15, 58, 50, 1390
1486636456.5944526, 21, 16, 17, -16, 45, 39, -13, 46, 50, 1390
1486636456.5944738, -104, 21, 4, -23, -7, 43, -13, 38, 50, 1390
1486636456.5944946, -17, -8, 20, -8, 182, 45, -16, 52, 50, 1390
1486636456.594515, 103, -23, 32, 24, 415, 52, -21, 62, 50, 1390
1486636456.5945344, 109, -16, 23, 18, 261, 47, -17, 62, 50, 1390
1486636456.5945525, -7, 12, 1, -15, 27, 43, -13, 46, 50, 1390
1486636456.5956988, -96, 22, 9, -12, 23, 41, -17, 38, 50, 1390
1486636456.59574, -10, -9, 14, 13, 229, 36, -26, 50, 50, 1390
1486636456.5957632, 97, -26, 36, 27, 428, 45, -18, 68, 50, 1390
1486636456.5957882, 102, -4, 23, 11, 225, 42, -11, 58, 50, 1390
1486636456.5958085, -24, 21, 14, -22, -6, 44, -6, 46, 50, 1390
1486636456.595828, -86, 22, 10, -22, 35, 38, -17, 40, 50, 1390
1486636456.595847, -8, -15, 17, 3, 293, 40, -21, 53, 50, 1390
1486636456.5958655, 105, -29, 24, 17, 413, 48, -21, 64, 50, 1390
1486636456.5959096, 89, -3, 34, 1, 205, 45, -13, 57, 50, 1390
1486636456.5959291, -45, 23, 0, -15, -19, 32, -18, 37, 50, 1390
1486636456.595948, -91, 12, 14, -10, 81, 34, -19, 46, 50, 1390
1486636456.5959668, 5, -17, 22, 13, 303, 43, -23, 57, 50, 1390
1486636456.5959854, 115, -30, 38, 24, 373, 48, -11, 67, 50, 1390
1486636456.5960038, 60, 0, 30, 6, 186, 46, 1, 66, 50, 1390
1486636456.5960224, -56, 23, 11, -23, -53, 42, 4, 50, 50, 1390
1486636456.5960412, -75, 9, 14, -15, 68, 42, -4, 52, 50, 1390
1486636456.5960624, 22, -24, 37, 4, 309, 42, -17, 70, 50, 1390
1486636456.5960817, 132, -19, 41, 13, 382, 43, -19, 70, 50, 1390
1486636456.5961003, 56, 0, 25, -2, 167, 45, -13, 57, 50, 1390
1486636456.5961187, -71, 23, 10, -20, -51, 39, -6, 41, 50, 1390
1486636456.5961397, -78, 10, 10, -5, 108, 38, -13, 47, 50, 1390
1486636456.5961587, 36, -22, 27, 17, 355, 43, -11, 67, 50, 1390
1486636456.596177, 142, -25, 32, 14, 336, 47, -7, 70, 50, 1390
1486636456.596787, 49, 15, 26, -1, 84, 39, 4, 56, 50, 1390
1486636456.5968187, -67, 22, 9, -23, -44, 35, 3, 47, 50, 1390
1486636456.5968418, -62, 8, 14, -15, 68, 42, -4, 52, 50, 1390
1486636456.5968664, 58, -32, 20, 19, 319, 42, -12, 55, 50, 1390
1486636456.5968866, 119, -21, 28, 7, 298, 38, -12, 51, 50, 1390
1486636456.5969057, 33, 2, 15, -2, 167, 38, -11, 59, 50, 1390
1486636456.596925, -72, 30, 10, -31, -69, 25, -8, 29, 50, 1390
1486636456.596944, -53, -2, 23, -3, 126, 31, -12, 40, 50, 1390
1486636456.596963, 80, -29, 31, 13, 355, 43, -11, 67, 50, 1390
1486636456.5969818, 116, -16, 31, 11, 273, 31, -6, 53, 50, 1390
1486636456.5970569, 30, 15, 23, -7, 27, 28, -1, 38, 50, 1390
1486636456.5971003, -94, 23, -2, -15, -44, 35, 3, 47, 50, 1390
1486636456.5971212, -44, -7, 20, -9, 153, 21, -14, 34, 50, 1390
1486636456.5971618, 90, -27, 33, 17, 363, 19, -14, 54, 50, 1390
1486636456.5972042, 122, -20, 30, 11, 298, 38, -12, 51, 50, 1390
1486636456.5972254, 6, 9, 8, -10, -38, 20, 5, 28, 50, 1390
1486636456.5972812, -95, 31, 0, -17, -43, 15, 1, 27, 50, 1390
1486636456.597305, -12, -2, 31, 1, 173, 31, -12, 40, 50, 1390
1486636456.5973246, 99, -26, 30, 17, 367, 22, -14, 43, 50, 1390
1486636456.5973437, 102, -9, 27, 10, 231, 27, -2, 44, 50, 1390
1486636456.597363, -19, 18, 5, -18, -12, 23, -1, 38, 50, 1390
1486636456.5973816, -91, 17, 7, -19, -20, 18, 0, 26, 50, 1390
1486636456.5974, -7, -5, 12, -2, 199, 25, -6, 41, 50, 1390
1486636456.5977597, 97, -21, 46, 23, 377, 30, -3, 53, 50, 1390
1486636456.5978274, 79, -10, 28, -1, 191, 32, 8, 44, 50, 1390
1486636456.597852, -21, 27, 18, -16, -50, 28, 14, 27, 50, 1390
1486636456.5978727, -98, 15, 17, -9, -28, 18, 1, 30, 50, 1390
1486636456.5978923, 9, -13, 29, 14, 285, 19, -9, 45, 50, 1390
1486636456.5979118, 115, -31, 36, 21, 328, 31, -1, 57, 50, 1390
1486636456.597931, 83, -1, 28, -4, 162, 33, 10, 50, 50, 1390
1486636456.5979502, -50, 15, 8, -10, -101, 23, 15, 37, 50, 1390
1486636456.5979693, -80, 12, 15, -6, 68, 24, 8, 32, 50, 1390
1486636456.5979881, 13, -12, 27, 7, 254, 23, -4, 41, 50, 1390
1486636456.5980067, 119, -29, 33, 16, 316, 29, -3, 50, 50, 1390
1486636456.5980263, 59, -1, 19, 2, 148, 29, 7, 42, 50, 1390
1486636456.5980449, -64, 25, 8, -24, -68, 23, 4, 31, 50, 1390
1486636456.598064, -83, 9, 3, -16, 70, 29, 3, 39, 50, 1390
1486636456.5980825, 34, -17, 35, 14, 301, 34, 3, 68, 50, 1390
1486636456.5981011, 120, -32, 39, 17, 346, 36, 4, 79, 50, 1390
1486636456.5981197, 61, 7, 26, 3, 127, 16, -22, 32, 50, 1390
1486636456.5981383, -63, 21, 2, -19, -65, -8, -64, 10, 50, 1390
1486636456.5981572, -62, 12, 18, -5, 134, 24, 8, 32, 50, 1390
1486636456.5981755, 55, -21, 34, 12, 385, -30, -147, 13, 50, 1390
1486636456.5981944, 119, -24, 16, 8, 384, -46, -179, -2, 50, 1390
1486636456.598213, 35, 11, 26, -3, 138, -71, 7, 42, 50, 1390
